[2024-01-15 10:15:45] CommandeID: 1001 | ClientID: 2001 | Statut Paiement: Réussi | Montant: 45.98 EUR
[2024-01-16 11:20:12] CommandeID: 1002 | ClientID: 2002 | Statut Paiement: Réussi | Montant: 899.99 EUR
[2024-01-17 09:05:33] CommandeID: 1003 | ClientID: 2003 | Statut Paiement: En attente | Montant: 150.00 EUR
[2024-01-18 12:35:01] CommandeID: 1004 | ClientID: 2004 | Statut Paiement: Réussi | Montant: 15.99 EUR
[2024-01-19 14:22:18] CommandeID: 1005 | ClientID: 2005 | Statut Paiement: Réussi | Montant: 70.00 EUR
[2024-01-20 16:45:30] CommandeID: 1006 | ClientID: 2006 | Statut Paiement: Échoué | Montant: 129.99 EUR
[2024-01-21 08:10:55] CommandeID: 1007 | ClientID: 2007 | Statut Paiement: Réussi | Montant: 3196.00 EUR
[2024-01-22 13:28:40] CommandeID: 1008 | ClientID: 2008 | Statut Paiement: Réussi | Montant: 59.98 EUR
[2024-01-23 15:50:22] CommandeID: 1009 | ClientID: 2001 | Statut Paiement: En attente | Montant: 249.99 EUR
[2024-01-24 10:05:15] CommandeID: 1010 | ClientID: 2009 | Statut Paiement: Réussi | Montant: 89.97 EUR
[2024-02-01 09:30:45] CommandeID: 1011 | ClientID: 2010 | Statut Paiement: Réussi | Montant: 22.99 EUR
[2024-02-02 11:15:20] CommandeID: 1012 | ClientID: 2011 | Statut Paiement: Réussi | Montant: 99.98 EUR
[2024-02-03 14:40:55] CommandeID: 1013 | ClientID: 2012 | Statut Paiement: Échoué | Montant: 79.99 EUR
[2024-02-04 16:25:10] CommandeID: 1014 | ClientID: 2013 | Statut Paiement: Réussi | Montant: 99.95 EUR
[2024-02-05 08:55:30] CommandeID: 1015 | ClientID: 2014 | Statut Paiement: Réussi | Montant: 549.99 EUR
[2024-02-06 12:10:45] CommandeID: 1016 | ClientID: 2015 | Statut Paiement: En attente | Montant: 139.98 EUR
[2024-02-07 15:35:20] CommandeID: 1017 | ClientID: 2016 | Statut Paiement: Réussi | Montant: 104.97 EUR
[2024-02-08 10:20:50] CommandeID: 1018 | ClientID: 2002 | Statut Paiement: Réussi | Montant: 189.99 EUR
[2024-02-09 13:45:15] CommandeID: 1019 | ClientID: 2017 | Statut Paiement: Réussi | Montant: 79.96 EUR
[2024-02-10 17:05:40] CommandeID: 1020 | ClientID: 2018 | Statut Paiement: Échoué | Montant: 49.98 EUR
[2024-03-01 09:15:25] CommandeID: 1021 | ClientID: 2019 | Statut Paiement: Réussi | Montant: 899.99 EUR
[2024-03-02 11:40:50] CommandeID: 1022 | ClientID: 2020 | Statut Paiement: Réussi | Montant: 44.97 EUR
[2024-03-03 14:25:35] CommandeID: 1023 | ClientID: 2003 | Statut Paiement: En attente | Montant: 179.98 EUR
[2024-03-04 16:50:10] CommandeID: 1024 | ClientID: 2007 | Statut Paiement: Réussi | Montant: 299.99 EUR
[2024-03-05 08:35:45] CommandeID: 1025 | ClientID: 2004 | Statut Paiement: Réussi | Montant: 70.00 EUR
[2024-03-06 12:20:20] CommandeID: 1026 | ClientID: 2011 | Statut Paiement: Réussi | Montant: 149.99 EUR
[2024-03-07 15:45:55] CommandeID: 1027 | ClientID: 2006 | Statut Paiement: Échoué | Montant: 249.95 EUR
[2024-03-08 10:10:30] CommandeID: 1028 | ClientID: 2012 | Statut Paiement: Réussi | Montant: 68.97 EUR
[2024-03-09 13:35:15] CommandeID: 1029 | ClientID: 2008 | Statut Paiement: Réussi | Montant: 799.99 EUR
[2024-03-10 17:00:40] CommandeID: 1030 | ClientID: 2015 | Statut Paiement: En attente | Montant: 59.98 EUR
[2024-04-01 09:25:20] CommandeID: 1031 | ClientID: 2001 | Statut Paiement: Réussi | Montant: 799.00 EUR
[2024-04-02 11:50:45] CommandeID: 1032 | ClientID: 2005 | Statut Paiement: Réussi | Montant: 63.96 EUR
[2024-04-03 14:15:30] CommandeID: 1033 | ClientID: 2013 | Statut Paiement: Réussi | Montant: 49.99 EUR
[2024-04-04 16:40:55] CommandeID: 1034 | ClientID: 2009 | Statut Paiement: Échoué | Montant: 89.97 EUR
[2024-04-05 08:25:10] CommandeID: 1035 | ClientID: 2016 | Statut Paiement: Réussi | Montant: 499.98 EUR
[2024-04-06 12:50:35] CommandeID: 1036 | ClientID: 2017 | Statut Paiement: En attente | Montant: 129.99 EUR
[2024-04-07 15:15:20] CommandeID: 1037 | ClientID: 2014 | Statut Paiement: Réussi | Montant: 209.94 EUR
[2024-04-08 10:40:45] CommandeID: 1038 | ClientID: 2010 | Statut Paiement: Réussi | Montant: 159.98 EUR
[2024-04-09 13:05:10] CommandeID: 1039 | ClientID: 2018 | Statut Paiement: Réussi | Montant: 200.00 EUR
[2024-04-10 17:30:35] CommandeID: 1040 | ClientID: 2019 | Statut Paiement: Échoué | Montant: 69.99 EUR
[2024-05-01 09:55:50] CommandeID: 1041 | ClientID: 2020 | Statut Paiement: Réussi | Montant: 549.99 EUR
[2024-05-02 11:20:15] CommandeID: 1042 | ClientID: 2002 | Statut Paiement: Réussi | Montant: 99.95 EUR
[2024-05-03 14:45:40] CommandeID: 1043 | ClientID: 2007 | Statut Paiement: En attente | Montant: 74.97 EUR
[2024-05-04 16:10:25] CommandeID: 1044 | ClientID: 2003 | Statut Paiement: Réussi | Montant: 379.98 EUR
[2024-05-05 08:35:50] CommandeID: 1045 | ClientID: 2011 | Statut Paiement: Réussi | Montant: 79.96 EUR
[2024-05-06 12:00:15] CommandeID: 1046 | ClientID: 2004 | Statut Paiement: Réussi | Montant: 299.99 EUR
[2024-05-07 15:25:40] CommandeID: 1047 | ClientID: 2012 | Statut Paiement: Échoué | Montant: 89.94 EUR
[2024-05-08 10:50:05] CommandeID: 1048 | ClientID: 2006 | Statut Paiement: Réussi | Montant: 299.98 EUR
[2024-05-09 13:15:30] CommandeID: 1049 | ClientID: 2015 | Statut Paiement: En attente | Montant: 89.99 EUR
[2024-05-10 17:40:55] CommandeID: 1050 | ClientID: 2008 | Statut Paiement: Réussi | Montant: 799.99 EUR
